,title,url,price,image_url,description
10770,Don Verdean (Blu-ray+Digital HD) NEW w/SLIP,http://picclick.com/Don-Verdean-Blu-ray-Digital-HD-NEW-w-SLIP-252822469628.html,"{'amount': 9.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/252822469628_/Don-Verdean-Blu-ray-Digital-HD-NEW-w-SLIP.jpg,
10771,Horace Silver CAPE VERDEAN BLUES Blue Note 75th Anniversary NEW SEALED VINYL LP,http://picclick.com/Horace-Silver-CAPE-VERDEAN-BLUES-Blue-Note-75th-131875665403.html,"{'amount': 18.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/131875665403_/Horace-Silver-CAPE-VERDEAN-BLUES-Blue-Note-75th.jpg,
10772,HORACE SILVER The Cape Verdean Blues LP BLUE NOTE BST 84220 NY EAR Joe Henderson,http://picclick.com/HORACE-SILVER-The-Cape-Verdean-Blues-LP-BLUE-312143505673.html,"{'amount': 46.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/312143505673_/HORACE-SILVER-The-Cape-Verdean-Blues-LP-BLUE.jpg,
10773,HORACE SILVER QUINTET Cape Verdean Blues LP Blue Note BST 84220 EX Vinyl Record,http://picclick.com/HORACE-SILVER-QUINTET-Cape-Verdean-Blues-LP-Blue-222632691386.html,"{'amount': 149.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/222632691386_/HORACE-SILVER-QUINTET-Cape-Verdean-Blues-LP-Blue.jpg,
10774,The Horace Silver Quintet - The Cape Verdean Blues LP VG+ BST 84220 Vinyl Record,http://picclick.com/The-Horace-Silver-Quintet-The-Cape-Verdean-311687497721.html,"{'amount': 35.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/311687497721_/The-Horace-Silver-Quintet-The-Cape-Verdean.jpg,
10775,Amandio Cabral Lota Disco Presente VINYL LP RARE Cape Verdean FOLK EX / VG++ '64,http://picclick.com/Amandio-Cabral-Lota-Disco-Presente-VINYL-LP-RARE-153050387627.html,"{'amount': 44.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/153050387627_/Amandio-Cabral-Lota-Disco-Presente-VINYL-LP-RARE.jpg,
10776,The Cape Verdean Blues - The Horace Sliver Quintet + JJ Johnson LP BLP 4220 Mono,http://picclick.com/The-Cape-Verdean-Blues-The-Horace-Sliver-253653959489.html,"{'amount': 175.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/253653959489_/The-Cape-Verdean-Blues-The-Horace-Sliver.jpg,
10777,The CAPE VERDEAN BLUES VERY RARE BLUE NOTE 4220 HORACE SILVER QUINTET VG MONO,http://picclick.com/The-CAPE-VERDEAN-BLUES-VERY-RARE-BLUE-NOTE-302325564458.html,"{'amount': 59.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/302325564458_/The-CAPE-VERDEAN-BLUES-VERY-RARE-BLUE-NOTE.jpg,
10778,Horace Silver The Cape Verdean Blues Music Matters Blue Note 45RPM 2LP SEALED #d,http://picclick.com/Horace-Silver-The-Cape-Verdean-Blues-Music-Matters-142829406038.html,"{'amount': 89.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/142829406038_/Horace-Silver-The-Cape-Verdean-Blues-Music-Matters.jpg,
10779,"HORACE SILVER: The Cape Verdean Blues LP ('92 re, v. sl cw) Jazz",http://picclick.com/HORACE-SILVER-The-Cape-Verdean-Blues-LP-92-351455735172.html,"{'amount': 20.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/351455735172_/HORACE-SILVER-The-Cape-Verdean-Blues-LP-92.jpg,
